database,factor,degree,architecture,gar,gar_ci_lo,gar_ci_hi,far,far_ci_lo,far_ci_hi,frr,frr_ci_lo,frr_ci_hi,eer,eer_ci_lo,eer_ci_hi,ga_total,ga_accept,ia_total,ia_accept
DB3,16,5,Unimodal,91.57894736842105,86.31578947368422,96.84210526315789,0.1410743353228432,0.043407487791644064,0.2821486706456864,8.421052631578945,3.1578947368421098,13.68421052631578,4.281063483450894,1.6547748236570832,6.961611502984259,95,87,9215,13
DB3,16,5,A,83.15789473684211,74.73684210526315,90.52631578947368,0.05425935973955508,0.010851871947911016,0.11937059142702117,16.84210526315789,9.473684210526315,25.26315789473685,8.448182311448722,4.76939772110689,12.642702116115032,95,79,9215,5
DB3,16,5,B,29.47368421052631,21.052631578947366,38.94736842105263,0.0,0.0,0.0,70.52631578947368,61.05263157894737,78.94736842105263,35.26315789473684,30.526315789473685,39.473684210526315,95,28,9215,0
DB3,16,5,C,29.47368421052631,21.052631578947366,38.94736842105263,0.0,0.0,0.0,70.52631578947368,61.05263157894737,78.94736842105263,35.26315789473684,30.526315789473685,39.473684210526315,95,28,9215,0
DB3,16,5,D,29.47368421052631,21.052631578947366,38.94736842105263,0.0,0.0,0.0,70.52631578947368,61.05263157894737,78.94736842105263,35.26315789473684,30.526315789473685,39.473684210526315,95,28,9215,0
DB3,16,5,IBFV,93.6842105263158,88.42105263157895,97.89473684210527,0.1410743353228432,0.043407487791644064,0.2821486706456864,6.315789473684205,2.1052631578947256,11.578947368421055,3.228431904503524,1.1014650027129624,5.84386869234943,95,89,9215,13
DB3,18,5,Unimodal,94.73684210526315,89.47368421052632,98.94736842105263,0.26044492674986436,0.08681497558328813,0.48833423765599565,5.26315789473685,1.05263157894737,10.526315789473685,2.761801410743357,0.6943841562669568,5.333830710797612,95,90,9215,24
DB3,18,5,A,85.26315789473684,77.89473684210526,91.57894736842105,0.11937059142702117,0.032555615843733045,0.23874118285404233,14.736842105263165,8.421052631578945,22.10526315789474,7.428106348345093,4.232094411285946,11.134020618556702,95,81,9215,11
DB3,18,5,B,30.526315789473685,21.052631578947366,40.0,0.0,0.0,0.0,69.47368421052632,60.0,78.94736842105263,34.73684210526316,30.0,39.473684210526315,95,29,9215,0
DB3,18,5,C,30.526315789473685,21.052631578947366,40.0,0.0,0.0,0.0,69.47368421052632,60.0,78.94736842105263,34.73684210526316,30.0,39.473684210526315,95,29,9215,0
DB3,18,5,D,30.526315789473685,21.052631578947366,40.0,0.0,0.0,0.0,69.47368421052632,60.0,78.94736842105263,34.73684210526316,30.0,39.473684210526315,95,29,9215,0
DB3,18,5,IBFV,95.78947368421052,91.57894736842105,98.94736842105263,0.26044492674986436,0.08681497558328813,0.48833423765599565,4.21052631578948,1.05263157894737,8.421052631578945,2.235485621269672,0.6185567010309286,4.389717851329352,95,91,9215,24
DB4,22,5,Unimodal,98.0,95.0,100.0,2.808080808080808,2.202020202020202,3.4949494949494953,2.0,0.0,5.0,2.404040404040404,1.2776515151515153,3.9646464646464645,100,98,9900,278
DB4,22,5,A,89.0,83.0,95.0,1.1818181818181819,0.8785353535353534,1.525505050505049,11.0,5.0,17.0,6.090909090909091,3.1363636363636362,9.131439393939393,100,89,9900,117
DB4,22,5,B,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB4,22,5,C,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB4,22,5,D,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB4,22,5,IBFV,98.0,95.0,100.0,2.808080808080808,2.202020202020202,3.4949494949494953,2.0,0.0,5.0,2.404040404040404,1.2776515151515153,3.9646464646464645,100,98,9900,278
DB4,22,7,Unimodal,91.0,85.0,96.0,0.7070707070707071,0.4444444444444444,1.02020202020202,9.0,4.0,15.0,4.853535353535354,2.3484848484848486,7.848484848484849,100,91,9900,70
DB4,22,7,A,83.0,75.975,90.0,0.3232323232323232,0.20202020202020202,0.4446969696969683,17.0,10.0,24.024999999999864,8.66161616161616,5.141414141414141,12.236363636363587,100,83,9900,32
DB4,22,7,B,30.0,21.0,39.0,0.0,0.0,0.0,70.0,61.0,79.0,35.0,30.5,39.5,100,30,9900,0
DB4,22,7,C,30.0,21.0,39.0,0.0,0.0,0.0,70.0,61.0,79.0,35.0,30.5,39.5,100,30,9900,0
DB4,22,7,D,30.0,21.0,39.0,0.0,0.0,0.0,70.0,61.0,79.0,35.0,30.5,39.5,100,30,9900,0
DB4,22,7,IBFV,94.0,89.0,98.0,0.7070707070707071,0.4444444444444444,1.02020202020202,6.0,2.0,11.0,3.3535353535353534,1.303030303030303,5.80820707070707,100,94,9900,70
