Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch A (1_to_lock_rest_to_unlock),16,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),16,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),16,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),18,5,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),18,5,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),18,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),18,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),18,7,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),18,7,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),18,8,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),18,8,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),18,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),18,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),18,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),18,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),18,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),18,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),20,5,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_rest_to_unlock),20,5,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_1_to_unlock),20,6,47,4990,15,2,68.08510638297872,0.04008016032064128,34.06259327164968
Arch A (1_to_lock_rest_to_unlock),20,6,47,4990,15,2,68.08510638297872,0.04008016032064128,34.06259327164968
Arch A (1_to_lock_1_to_unlock),20,7,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),20,7,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),20,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),20,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),20,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),20,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),20,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),20,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),20,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),20,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),22,5,47,4990,15,6,68.08510638297872,0.12024048096192384,34.102673431970324
Arch A (1_to_lock_rest_to_unlock),22,5,47,4990,15,6,68.08510638297872,0.12024048096192384,34.102673431970324
Arch A (1_to_lock_1_to_unlock),22,6,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),22,6,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),22,7,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),22,7,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),22,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),22,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),22,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),22,9,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),22,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),22,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),22,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),22,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),24,5,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_rest_to_unlock),24,5,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_1_to_unlock),24,6,47,4990,15,9,68.08510638297872,0.18036072144288579,34.1327335522108
Arch A (1_to_lock_rest_to_unlock),24,6,47,4990,15,9,68.08510638297872,0.18036072144288579,34.1327335522108
Arch A (1_to_lock_1_to_unlock),24,7,47,4990,15,4,68.08510638297872,0.08016032064128256,34.08263335181
Arch A (1_to_lock_rest_to_unlock),24,7,47,4990,15,4,68.08510638297872,0.08016032064128256,34.08263335181
Arch A (1_to_lock_1_to_unlock),24,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),24,8,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),24,9,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),24,9,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),24,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),24,10,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),24,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),24,11,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),26,5,47,4990,15,49,68.08510638297872,0.9819639278557115,34.53353515541722
Arch A (1_to_lock_rest_to_unlock),26,5,47,4990,15,49,68.08510638297872,0.9819639278557115,34.53353515541722
Arch A (1_to_lock_1_to_unlock),26,6,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_rest_to_unlock),26,6,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_1_to_unlock),26,7,47,4990,15,6,68.08510638297872,0.12024048096192384,34.102673431970324
Arch A (1_to_lock_rest_to_unlock),26,7,47,4990,15,6,68.08510638297872,0.12024048096192384,34.102673431970324
Arch A (1_to_lock_1_to_unlock),26,8,47,4990,15,4,68.08510638297872,0.08016032064128256,34.08263335181
Arch A (1_to_lock_rest_to_unlock),26,8,47,4990,15,4,68.08510638297872,0.08016032064128256,34.08263335181
Arch A (1_to_lock_1_to_unlock),26,9,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_rest_to_unlock),26,9,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_1_to_unlock),26,10,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_rest_to_unlock),26,10,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_1_to_unlock),26,11,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_rest_to_unlock),26,11,47,4990,14,1,70.2127659574468,0.02004008016032064,35.11640301880356
Arch A (1_to_lock_1_to_unlock),28,5,47,4990,15,75,68.08510638297872,1.503006012024048,34.794056197501384
Arch A (1_to_lock_rest_to_unlock),28,5,47,4990,15,75,68.08510638297872,1.503006012024048,34.794056197501384
Arch A (1_to_lock_1_to_unlock),28,6,47,4990,15,36,68.08510638297872,0.7214428857715431,34.40327463437513
Arch A (1_to_lock_rest_to_unlock),28,6,47,4990,15,36,68.08510638297872,0.7214428857715431,34.40327463437513
Arch A (1_to_lock_1_to_unlock),28,7,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_rest_to_unlock),28,7,47,4990,15,19,68.08510638297872,0.3807615230460922,34.232933953012406
Arch A (1_to_lock_1_to_unlock),28,8,47,4990,15,7,68.08510638297872,0.1402805611222445,34.11269347205048
Arch A (1_to_lock_rest_to_unlock),28,8,47,4990,15,7,68.08510638297872,0.1402805611222445,34.11269347205048
Arch A (1_to_lock_1_to_unlock),28,9,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_rest_to_unlock),28,9,47,4990,15,3,68.08510638297872,0.06012024048096192,34.07261331172984
Arch A (1_to_lock_1_to_unlock),28,10,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),28,10,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),28,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),28,11,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),30,5,47,4990,15,128,68.08510638297872,2.565130260521042,35.32511832174988
Arch A (1_to_lock_rest_to_unlock),30,5,47,4990,15,128,68.08510638297872,2.565130260521042,35.32511832174988
Arch A (1_to_lock_1_to_unlock),30,6,47,4990,15,71,68.08510638297872,1.4228456913827654,34.75397603718074
Arch A (1_to_lock_rest_to_unlock),30,6,47,4990,15,71,68.08510638297872,1.4228456913827654,34.75397603718074
Arch A (1_to_lock_1_to_unlock),30,7,47,4990,15,47,68.08510638297872,0.9418837675350702,34.5134950752569
Arch A (1_to_lock_rest_to_unlock),30,7,47,4990,15,47,68.08510638297872,0.9418837675350702,34.5134950752569
Arch A (1_to_lock_1_to_unlock),30,8,47,4990,15,28,68.08510638297872,0.561122244488978,34.32311431373385
Arch A (1_to_lock_rest_to_unlock),30,8,47,4990,15,28,68.08510638297872,0.561122244488978,34.32311431373385
Arch A (1_to_lock_1_to_unlock),30,9,47,4990,15,11,68.08510638297872,0.22044088176352705,34.15277363237112
Arch A (1_to_lock_rest_to_unlock),30,9,47,4990,15,11,68.08510638297872,0.22044088176352705,34.15277363237112
Arch A (1_to_lock_1_to_unlock),30,10,47,4990,15,2,68.08510638297872,0.04008016032064128,34.06259327164968
Arch A (1_to_lock_rest_to_unlock),30,10,47,4990,15,2,68.08510638297872,0.04008016032064128,34.06259327164968
Arch A (1_to_lock_1_to_unlock),30,11,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_rest_to_unlock),30,11,47,4990,15,1,68.08510638297872,0.02004008016032064,34.05257323156952
Arch A (1_to_lock_1_to_unlock),32,5,47,4990,15,207,68.08510638297872,4.148296593186373,36.11670148808255
Arch A (1_to_lock_rest_to_unlock),32,5,47,4990,15,207,68.08510638297872,4.148296593186373,36.11670148808255
Arch A (1_to_lock_1_to_unlock),32,6,47,4990,15,124,68.08510638297872,2.4849699398797593,35.28503816142924
Arch A (1_to_lock_rest_to_unlock),32,6,47,4990,15,124,68.08510638297872,2.4849699398797593,35.28503816142924
Arch A (1_to_lock_1_to_unlock),32,7,47,4990,15,59,68.08510638297872,1.182364729458918,34.633735556218824
Arch A (1_to_lock_rest_to_unlock),32,7,47,4990,15,59,68.08510638297872,1.182364729458918,34.633735556218824
